orderid,orderdate,customerid,agegroup,gender,city,devicetype,acquisitionchannel,customersegment,productid,productname,category,subcategory,brand,price,cost,quantity,discount,shippingcost,paymentmethod,orderstatus,deliverydays,revenue,profit,rating,promocodeused,reviewcount,agecategory
O00011,12/30/2024,C1565,25-34,Male,Dortmund,Mobile,Paid Advertising,Returning,P00011,Leather basketball - blue,Sports,Basketball,Adidas,122.63,66.75,2,10,4.92,Credit Card,Cancelled,0,220.73,82.31,3,Yes,0,adult
O00012,12/23/2024,C1645,45-54,Female,Dresden,Tablet,Email,New,P00012,Slim fit gloves - green,Accessories,Gloves,Anna Field,32.7,19.89,1,0,3.43,Debit Card,Delivered,3,32.7,9.38,5,No,124,older adult
O00013,10/7/2025,C1864,45-54,Female,Frankfurt am Main,Desktop,Email,Returning,P00013,Lace ankle boots - white,Shoes,Ankle boots,Nike,132.68,78.21,1,6,0.42,PayPal,Delivered,6,124.72,46.09,5,Yes,66,older adult
O00014,11/28/2024,C1905,25-34,Female,Hamburg,Mobile,Referral,New,P00014,Cotton socks & tights - pink,Clothing,Socks & Tights,Nike,23.15,10.61,1,0,1.4,Credit Card,Delivered,6,23.15,11.14,1,No,80,adult
O00015,11/4/2024,C1388,35-44,Non-Binary,Dusseldorf,Mobile,Email,Returning,P00015,Knitted jeans - grey,Clothing,Jeans,Stradivarius,83.76,41.39,1,0,4.54,Credit Card,Delivered,4,83.76,37.83,1,No,90,middle-aged
O00016,5/23/2024,C1923,55-64,Female,Berlin,Mobile,Organic Search,New,P00016,Lace running - red,Sports,Running,New Balance,54.04,33.64,1,0,0.89,Credit Card,Delivered,3,54.04,19.51,3,No,42,senior
O00017,6/2/2025,C1871,18-24,Male,Berlin,Mobile,Email,VIP,P00017,Cotton swimwear - pink,Clothing,Swimwear,Arena,78.21,35.81,1,0,2.14,Google Pay,Delivered,7,78.21,40.26,1,No,7,young
O00018,9/16/2024,C1696,35-44,Female,Berlin,Desktop,Direct,Returning,P00018,Printed jeans - red,Clothing,Jeans,Stradivarius,50.19,30.12,1,0,0.28,PayPal,Delivered,4,50.19,19.79,1,No,118,middle-aged
O00019,11/29/2025,C1281,45-54,Female,Dusseldorf,Mobile,Organic Search,New,P00019,Basic gloves - pink,Accessories,Gloves,Adidas,22.11,11.89,1,0,0.51,Credit Card,Delivered,2,22.11,9.71,5,No,16,older adult
O00020,5/8/2024,C1377,18-24,Male,Stuttgart,Mobile,Direct,New,P00020,Classic bags & cases - red,Accessories,Bags & cases,Casio,189.7,86.85,1,26,3.73,Google Pay,Processing,2,140.38,49.8,3,Yes,0,young
O00021,3/18/2025,C1320,35-44,Female,Munich,Mobile,Email,Returning,P00021,Printed jeans - beige,Clothing,Jeans,Pull&Bear,128.15,67.74,1,24,0.05,Gift Card,Processing,2,97.39,29.6,3,Yes,0,middle-aged
O00022,4/6/2025,C1653,18-24,Female,Berlin,Desktop,Direct,Returning,P00022,Knitted jeans - navy,Clothing,Jeans,Stradivarius,78.77,43.65,1,0,4.05,Credit Card,Delivered,6,78.77,31.07,5,No,23,young
O00023,2/20/2025,C1944,25-34,Female,Hamburg,Mobile,Direct,New,P00023,Slim fit sportswear - navy,Clothing,Sportswear,Puma,72.15,35.9,2,13,3.98,Debit Card,Shipped,6,125.54,49.76,3,Yes,0,adult
O00024,9/10/2024,C1795,25-34,Female,Frankfurt am Main,Desktop,Social Media,New,P00024,Classic hats & caps - black,Accessories,Hats & caps,Carhartt WIP,40.3,22.14,1,0,4.93,Credit Card,Delivered,7,40.3,13.23,1,No,94,adult
O00025,2/22/2025,C1635,35-44,Female,Dresden,Mobile,Organic Search,Returning,P00025,Basic ankle boots - khaki,Shoes,Ankle boots,Stradivarius,84.98,43.5,1,0,1.07,Apple Pay,Shipped,4,84.98,40.41,3,No,0,middle-aged
O00026,2/27/2024,C1875,25-34,Female,Hamburg,Desktop,Email,New,P00026,Oversized knitwear & cardigans - white,Clothing,Knitwear & Cardigans,Next,94.2,57.3,2,17,1.66,Credit Card,Delivered,3,156.37,40.11,4,Yes,99,adult
O00027,6/5/2025,C1506,25-34,Female,Cologne,Desktop,Email,Returning,P00027,Printed gloves - white,Accessories,Gloves,Anna Field,31.92,16.81,1,23,3.36,Apple Pay,Delivered,4,24.58,4.41,2,Yes,189,adult
O00028,9/4/2024,C1784,18-24,Male,Berlin,Mobile,Direct,New,P00028,Padded jeans - navy,Clothing,Jeans,Bershka,149,89.32,2,0,1.49,PayPal,Processing,2,298,117.87,3,No,0,young
O00029,7/27/2025,C1566,18-24,Female,Berlin,Desktop,Paid Advertising,Returning,P00029,Knitted t-shirts & tops - blue,Clothing,T-shirts & tops,Bershka,73.16,37.81,1,0,3.16,Google Pay,Delivered,4,73.16,32.19,1,No,100,young
O00030,2/27/2025,C1978,25-34,Male,Dresden,Desktop,Direct,New,P00030,Leather football - black,Sports,Football,Adidas,27.2,16.78,1,0,1.01,Apple Pay,Delivered,2,27.2,9.41,3,No,0,adult
O00031,4/20/2024,C1003,18-24,Male,Berlin,Tablet,Direct,New,P00031,Printed sweatshirts & hoodies - khaki,Clothing,Sweatshirts & Hoodies,Mira Paris,76.98,39.46,1,0,0.62,PayPal,Delivered,3,76.98,36.9,5,No,63,young
O00032,10/6/2025,C1572,18-24,Female,Berlin,Mobile,Organic Search,New,P00032,Basic boots - red,Shoes,Boots,Nike,111.77,58.31,1,0,1.06,Debit Card,Delivered,2,111.77,52.4,1,No,115,young
O00033,9/26/2024,C1278,45-54,Male,Stuttgart,Tablet,Organic Search,New,P00033,Padded sets and calendars - navy,Beauty,Sets and calendars,Marc Jacobs,64.01,32.76,1,27,3.28,Gift Card,Delivered,5,46.73,10.69,1,Yes,156,older adult
O00034,7/6/2024,C1746,35-44,Male,Dusseldorf,Desktop,Referral,Returning,P00034,Padded shorts - navy,Clothing,Shorts,JDY,59.55,29.22,1,0,4.27,Gift Card,Delivered,7,59.55,26.06,3,No,43,middle-aged
O00035,2/28/2024,C1729,35-44,Male,Frankfurt am Main,Desktop,Email,New,P00035,Knitted boots - blue,Shoes,Boots,Anna Field,101.03,48.09,1,27,2.04,Credit Card,Delivered,6,73.75,23.62,4,Yes,134,middle-aged
O00036,12/25/2024,C1799,25-34,Female,Cologne,Mobile,Direct,New,P00036,Oversized jackets & blazers - blue,Clothing,Jackets & Blazers,Pull&Bear,149.9,74.43,1,0,2.3,Debit Card,Delivered,7,149.9,73.17,4,No,198,adult
O00037,5/26/2024,C1677,35-44,Male,Essen,Desktop,Organic Search,New,P00037,Lace sweatshirts & hoodies - navy,Clothing,Sweatshirts & Hoodies,Adidas,71.19,34.07,1,0,1.45,PayPal,Delivered,4,71.19,35.67,4,No,105,middle-aged
O00038,8/8/2024,C1688,35-44,Female,Frankfurt am Main,Desktop,Direct,VIP,P00038,Knitted hats & caps - blue,Accessories,Hats & caps,Nike,35.69,16.9,1,0,2.92,Google Pay,Delivered,2,35.69,15.87,3,No,17,middle-aged
O00039,3/20/2025,C1765,25-34,Female,Dortmund,Mobile,Direct,New,P00039,Leather bags & cases - navy,Accessories,Bags & cases,Casio,51.53,33.07,1,19,2.38,Google Pay,Delivered,3,41.74,6.29,1,Yes,117,adult
O00040,5/14/2024,C1521,18-24,Male,Dusseldorf,Mobile,Paid Advertising,Returning,P00040,Basic running - blue,Sports,Running,New Balance,30.59,16.39,1,7,3.67,Credit Card,Shipped,4,28.45,8.39,3,Yes,0,young
O00041,4/6/2024,C1516,25-34,Male,Frankfurt am Main,Desktop,Organic Search,Returning,P00041,Slim fit t-shirts & tops - black,Clothing,T-shirts & tops,Bershka,15.56,8.99,1,0,3.96,Debit Card,Delivered,7,15.56,2.61,1,No,93,adult
O00042,11/18/2024,C1209,35-44,Female,Cologne,Mobile,Paid Advertising,Returning,P00042,Knitted coats - red,Clothing,Coats,The North Face,90.01,51.57,2,0,0.71,Gift Card,Delivered,7,180.02,76.17,3,No,134,middle-aged
O00043,10/26/2025,C1858,25-34,Female,Dresden,Mobile,Email,Returning,P00043,Classic sweatshirts & hoodies - beige,Clothing,Sweatshirts & Hoodies,Mira Paris,112.09,62.22,1,26,1.63,Gift Card,Delivered,5,82.95,19.1,3,Yes,64,adult
O00044,2/12/2024,C1018,25-34,Female,Berlin,Mobile,Organic Search,New,P00044,Lace watches - white,Accessories,Watches,Casio,32,15.97,1,29,3.17,PayPal,Delivered,4,22.72,3.58,3,Yes,150,adult
O00045,11/19/2024,C1820,55-64,Female,Stuttgart,Desktop,Organic Search,New,P00045,Lace makeup - grey,Beauty,Makeup,Lancôme,16.82,9.7,1,0,3.83,PayPal,Delivered,3,16.82,3.29,3,No,0,senior
O00046,4/6/2024,C1818,35-44,Male,Essen,Mobile,Organic Search,Returning,P00046,Printed dresses - red,Clothing,Dresses,Stradivarius,62.7,31.32,1,19,4.33,PayPal,Delivered,6,50.79,15.14,1,Yes,68,middle-aged
O00047,8/18/2025,C1388,45-54,Female,Stuttgart,Desktop,Paid Advertising,New,P00047,Knitted sandals - beige,Shoes,Sandals,Nike,49.78,29.79,2,27,0.7,Debit Card,Delivered,6,72.68,12.4,1,Yes,2,older adult
O00048,9/10/2025,C1086,25-34,Male,Berlin,Desktop,Organic Search,New,P00048,Lace jackets & blazers - brown,Clothing,Jackets & Blazers,The North Face,194.11,108.67,1,0,3.66,PayPal,Shipped,7,194.11,81.78,3,No,0,adult
O00049,5/18/2024,C1968,18-24,Male,Essen,Mobile,Organic Search,Returning,P00049,Lace dresses - red,Clothing,Dresses,JDY,110.17,67.19,1,0,2.42,PayPal,Delivered,3,110.17,40.56,3,No,124,young
O00050,7/5/2024,C1286,45-54,Female,Essen,Tablet,Organic Search,VIP,P00050,Padded sandals - red,Shoes,Sandals,Adidas,71.25,44.12,1,9,3.08,Credit Card,Delivered,2,64.84,17.64,3,Yes,75,older adult
O00051,1/30/2025,C1024,18-24,Male,Frankfurt am Main,Mobile,Paid Advertising,New,P00051,Padded ankle boots - beige,Shoes,Ankle boots,Anna Field,179.39,90.17,1,21,2.69,PayPal,Delivered,5,141.72,48.86,4,Yes,55,young
O00052,9/17/2024,C1383,45-54,Female,Munich,Mobile,Social Media,Returning,P00052,Basic jeans - brown,Clothing,Jeans,Pull&Bear,142.42,67.75,1,15,0.28,Google Pay,Delivered,4,121.06,53.03,4,Yes,11,older adult
O00053,4/16/2025,C1044,18-24,Female,Frankfurt am Main,Mobile,Social Media,New,P00053,Oversized skirts - red,Clothing,Skirts,Stradivarius,68.48,41.43,3,0,1.48,Debit Card,Delivered,5,205.44,79.67,3,No,0,young
O00054,8/7/2025,C1549,25-34,Male,Dortmund,Mobile,Organic Search,VIP,P00054,Oversized pumps - blue,Shoes,Pumps,Stradivarius,47.12,22.56,1,7,1.93,Credit Card,Returned,0,43.82,19.33,3,Yes,0,adult
O00055,7/27/2025,C1723,25-34,Male,Munich,Desktop,Direct,Returning,P00055,Classic skirts - beige,Clothing,Skirts,Pull&Bear,25.18,15.05,1,21,4.14,Gift Card,Delivered,7,19.89,0.7,4,Yes,192,adult
O00056,5/10/2025,C1135,35-44,Male,Hamburg,Mobile,Paid Advertising,Returning,P00056,Printed sweatshirts & hoodies - blue,Clothing,Sweatshirts & Hoodies,Adidas,62.42,31.95,1,0,0.44,Apple Pay,Delivered,3,62.42,30.03,3,No,0,middle-aged
O00057,3/28/2025,C1400,35-44,Female,Dusseldorf,Mobile,Organic Search,New,P00057,Lace sneakers - blue,Shoes,Sneakers,Nike,88.08,42.19,2,0,3.14,Credit Card,Shipped,4,176.16,88.64,3,No,0,middle-aged
O00058,8/9/2025,C1400,55-64,Male,Frankfurt am Main,Mobile,Direct,Returning,P00058,Oversized swimwear - blue,Clothing,Swimwear,Speedo,24.47,13.54,1,16,1.17,PayPal,Delivered,6,20.55,5.84,5,Yes,85,senior
O00059,6/6/2024,C1836,35-44,Male,Munich,Mobile,Direct,Returning,P00059,Basic sunglasses - pink,Accessories,Sunglasses,Casio,86.19,45.94,2,0,5.39,Credit Card,Delivered,3,172.38,75.11,3,No,184,middle-aged
O00060,8/20/2024,C1750,35-44,Female,Berlin,Tablet,Organic Search,New,P00060,Lace ankle boots - black,Shoes,Ankle boots,Stradivarius,83.12,52.98,1,29,4.29,Google Pay,Shipped,3,59.02,1.75,3,Yes,0,middle-aged
O00061,5/10/2024,C1904,25-34,Female,Frankfurt am Main,Mobile,Paid Advertising,New,P00061,Leather jeans - red,Clothing,Jeans,Levi's,58.77,31.12,3,0,1.64,Google Pay,Delivered,3,176.31,81.31,2,No,13,adult
O00062,2/28/2024,C1353,35-44,Male,Berlin,Mobile,Social Media,New,P00062,Cotton ankle boots - khaki,Shoes,Ankle boots,Nike,152.77,95.66,1,23,3.05,PayPal,Delivered,2,117.63,18.92,3,Yes,0,middle-aged
O00063,7/27/2025,C1350,25-34,Male,Frankfurt am Main,Desktop,Email,Returning,P00063,Leather knitwear & cardigans - beige,Clothing,Knitwear & Cardigans,Only,55.91,29.49,1,18,3.49,PayPal,Delivered,3,45.85,12.87,2,Yes,114,adult
O00064,10/7/2024,C1271,25-34,Male,Hamburg,Mobile,Organic Search,Returning,P00064,Padded boots - black,Shoes,Boots,Adidas,117.14,73.36,1,18,0.08,Gift Card,Delivered,3,96.05,22.61,2,Yes,73,adult
O00065,11/11/2024,C1420,25-34,Male,Berlin,Desktop,Social Media,VIP,P00065,Oversized house shoes - grey,Shoes,House shoes,Anna Field,13.82,7.71,1,17,1.71,PayPal,Returned,0,11.47,2.05,3,Yes,0,adult
O00066,9/19/2024,C1549,25-34,Male,Hamburg,Mobile,Direct,New,P00066,Classic boots - grey,Shoes,Boots,Bershka,62.93,32.96,1,24,3.58,Google Pay,Delivered,2,47.83,11.29,3,Yes,188,adult
O00067,3/8/2024,C1271,35-44,Male,Stuttgart,Mobile,Email,Returning,P00067,Classic t-shirts & tops - beige,Clothing,T-shirts & tops,Nike,19.99,11.44,2,27,0.83,Credit Card,Shipped,2,29.19,5.48,3,Yes,0,middle-aged
O00068,4/3/2024,C1380,45-54,Female,Dresden,Mobile,Organic Search,New,P00068,Basic running - white,Sports,Running,Puma,39.54,23.06,1,10,0.25,Google Pay,Delivered,7,35.59,12.28,1,Yes,192,older adult
O00069,5/9/2025,C1410,25-34,Male,Berlin,Mobile,Organic Search,VIP,P00069,Knitted sneakers - beige,Shoes,Sneakers,Hummel,134.89,74.33,1,0,4.2,Credit Card,Delivered,3,134.89,56.36,2,No,108,adult
O00070,11/2/2024,C1815,25-34,Non-Binary,Hamburg,Mobile,Direct,New,P00070,Padded hats & caps - khaki,Accessories,Hats & caps,The North Face,18.5,11.19,1,0,0.73,Debit Card,Delivered,5,18.5,6.58,4,No,36,adult
O00071,5/14/2024,C1761,35-44,Male,Hamburg,Desktop,Email,New,P00071,Lace dresses - red,Clothing,Dresses,Stradivarius,196.19,106.59,1,0,0.86,PayPal,Processing,1,196.19,88.74,3,No,0,middle-aged
O00072,1/19/2025,C1601,45-54,Non-Binary,Cologne,Tablet,Organic Search,New,P00072,Basic sportswear - white,Clothing,Sportswear,The North Face,40.17,24.43,1,0,2.85,Apple Pay,Delivered,7,40.17,12.89,2,No,103,older adult
O00073,10/23/2025,C1377,45-54,Non-Binary,Stuttgart,Mobile,Paid Advertising,New,P00073,Classic trousers - blue,Clothing,Trousers,Levi's,49.49,30.66,1,0,3.81,Debit Card,Delivered,6,49.49,15.02,1,No,118,older adult
O00074,1/28/2025,C1183,25-34,Male,Dusseldorf,Mobile,Email,New,P00074,Knitted ankle boots - navy,Shoes,Ankle boots,Anna Field,75.92,35.72,2,7,2.96,Debit Card,Delivered,5,141.21,66.81,3,Yes,0,adult
O00075,11/13/2024,C1870,25-34,Male,Hamburg,Mobile,Social Media,New,P00075,Oversized boots - grey,Shoes,Boots,Nike,151.55,70.37,1,21,4.73,Credit Card,Delivered,3,119.72,44.62,1,Yes,194,adult
O00076,8/25/2024,C1152,25-34,Male,Hamburg,Tablet,Email,Returning,P00076,Classic sneakers - beige,Shoes,Sneakers,Adidas,143.82,71.07,2,0,5.31,PayPal,Delivered,5,287.64,140.19,3,No,22,adult
O00077,8/25/2024,C1085,25-34,Male,Berlin,Desktop,Social Media,New,P00077,Knitted hats & caps - red,Accessories,Hats & caps,Carhartt WIP,41.75,23.77,1,30,0.13,PayPal,Delivered,2,29.22,5.32,2,Yes,96,adult
O00078,5/22/2024,C1555,18-24,Male,Frankfurt am Main,Desktop,Direct,New,P00078,Knitted bags & cases - red,Accessories,Bags & cases,Bershka,37.78,17.24,2,21,3.89,PayPal,Delivered,7,59.69,21.32,5,Yes,124,young
O00079,6/24/2024,C1653,18-24,Male,Munich,Desktop,Email,VIP,P00079,Leather sandals - blue,Shoes,Sandals,Anna Field,50.52,31.43,1,0,2.43,Gift Card,Returned,0,50.52,16.66,3,No,0,young
O00080,3/19/2025,C1418,25-34,Male,Stuttgart,Desktop,Direct,Returning,P00080,Padded sweatshirts & hoodies - pink,Clothing,Sweatshirts & Hoodies,JDY,66.79,36.46,1,29,2.16,PayPal,Delivered,5,47.42,8.8,5,Yes,103,adult
O00081,6/18/2025,C1991,25-34,Male,Dresden,Desktop,Email,New,P00081,Leather swimwear - red,Clothing,Swimwear,Arena,59.84,35.14,1,24,0.65,PayPal,Delivered,7,45.48,9.69,4,Yes,39,adult
O00082,5/14/2024,C1649,25-34,Female,Dortmund,Desktop,Organic Search,New,P00082,Leather running - brown,Sports,Running,Nike,48.57,22.14,3,20,1.51,Google Pay,Delivered,4,116.57,48.64,3,Yes,36,adult
O00083,9/4/2024,C1806,25-34,Female,Essen,Desktop,Direct,New,P00083,Padded bags & cases - green,Accessories,Bags & cases,Casio,76.77,35.24,1,0,0.3,Credit Card,Delivered,4,76.77,41.23,3,No,0,adult
O00084,11/26/2025,C1453,35-44,Male,Dresden,Mobile,Paid Advertising,New,P00084,Basic jackets & blazers - khaki,Clothing,Jackets & Blazers,Anna Field,125.29,68.5,1,6,2.58,Apple Pay,Cancelled,0,117.77,46.69,3,Yes,0,middle-aged
O00085,9/20/2025,C1547,25-34,Female,Berlin,Mobile,Direct,New,P00085,Printed ankle boots - brown,Shoes,Ankle boots,Anna Field,114.99,55.51,2,0,3.7,Credit Card,Delivered,4,229.98,115.26,5,No,87,adult
O00086,11/7/2025,C1308,35-44,Male,Cologne,Mobile,Organic Search,New,P00086,Classic pumps - black,Shoes,Pumps,Bershka,88.17,40.72,1,5,3.35,Credit Card,Delivered,5,83.76,39.69,2,Yes,14,middle-aged
O00087,1/10/2024,C1238,18-24,Male,Frankfurt am Main,Tablet,Direct,Returning,P00087,Basic coats - brown,Clothing,Coats,Bershka,194.14,99.04,1,25,1.57,Credit Card,Delivered,2,145.6,44.99,3,Yes,0,young
O00088,5/4/2025,C1417,45-54,Male,Cologne,Mobile,Organic Search,New,P00088,Cotton sneakers - red,Shoes,Sneakers,Adidas,61.03,36.72,1,13,3.5,Credit Card,Delivered,2,53.1,12.88,4,Yes,67,older adult
O00089,10/29/2025,C1856,35-44,Male,Cologne,Desktop,Social Media,New,P00089,Slim fit dresses - beige,Clothing,Dresses,JDY,42.39,21.97,1,23,0.17,Gift Card,Delivered,7,32.64,10.5,3,Yes,122,middle-aged
O00090,10/28/2025,C1013,45-54,Female,Cologne,Mobile,Paid Advertising,New,P00090,Knitted belts - white,Accessories,Belts,Bershka,47.52,21.75,1,7,2.29,Apple Pay,Shipped,5,44.19,20.15,3,Yes,0,older adult
O00091,5/7/2024,C1753,25-34,Female,Hamburg,Desktop,Social Media,Returning,P00091,Padded skirts - pink,Clothing,Skirts,JDY,30.37,17.59,1,0,0.66,PayPal,Delivered,7,30.37,12.12,5,No,104,adult
O00092,5/22/2025,C1807,25-34,Female,Cologne,Desktop,Paid Advertising,New,P00092,Slim fit dresses - red,Clothing,Dresses,Pull&Bear,136.72,71.58,1,0,4.02,Credit Card,Shipped,6,136.72,61.12,3,No,0,adult
O00093,12/14/2024,C1076,18-24,Male,Stuttgart,Mobile,Direct,Returning,P00093,Cotton sweatshirts & hoodies - khaki,Clothing,Sweatshirts & Hoodies,Mira Paris,114.43,59.1,1,0,2.87,Debit Card,Shipped,3,114.43,52.46,3,No,0,young
O00094,4/20/2025,C1791,45-54,Female,Cologne,Desktop,Social Media,VIP,P00094,Padded bags & cases - white,Accessories,Bags & cases,Stradivarius,132.64,60.51,2,28,2.51,PayPal,Shipped,4,191,67.47,3,Yes,0,older adult
O00095,8/27/2025,C1635,45-54,Female,Munich,Desktop,Organic Search,Returning,P00095,Oversized sandals - brown,Shoes,Sandals,Anna Field,67.39,38.44,2,0,0.58,Debit Card,Delivered,5,134.78,57.32,1,No,16,older adult
O00096,7/6/2025,C1786,18-24,Female,Hamburg,Desktop,Email,New,P00096,Oversized hats & caps - red,Accessories,Hats & caps,Bershka,27.28,13.37,1,19,1.02,Gift Card,Delivered,6,22.1,7.71,4,Yes,105,young
O00097,7/16/2024,C1988,25-34,Female,Hamburg,Desktop,Organic Search,Returning,P00097,Printed jumpsuits - navy,Clothing,Jumpsuits,Bershka,48.92,23.08,1,0,0.69,PayPal,Delivered,3,48.92,25.15,3,No,0,adult
O00098,4/10/2024,C1725,35-44,Female,Munich,Tablet,Paid Advertising,New,P00098,Lace jackets & blazers - navy,Clothing,Jackets & Blazers,The North Face,126.27,60.19,1,0,1.05,Google Pay,Delivered,5,126.27,65.03,1,No,186,middle-aged
O00099,2/8/2024,C1892,18-24,Non-Binary,Hamburg,Mobile,Direct,VIP,P00099,Oversized scarves - blue,Accessories,Scarves,Anna Field,15.5,9.02,1,0,1.83,Apple Pay,Cancelled,0,15.5,4.65,3,No,0,young
O00100,7/22/2024,C1598,45-54,Female,Dortmund,Mobile,Email,Returning,P00100,Leather swimwear - pink,Clothing,Swimwear,Arena,52.19,31.59,1,0,3.87,Credit Card,Shipped,3,52.19,16.73,3,No,0,older adult
O00101,2/28/2025,C1783,25-34,Female,Berlin,Mobile,Direct,Returning,P00101,Basic scarves - blue,Accessories,Scarves,Anna Field,44.27,26.04,1,0,0.87,Credit Card,Delivered,4,44.27,17.36,5,No,25,adult
O00102,9/1/2024,C1783,18-24,Male,Hamburg,Mobile,Direct,New,P00102,Cotton boots - beige,Shoes,Boots,Anna Field,159.11,96.65,1,24,0.38,Apple Pay,Delivered,4,120.92,23.89,5,Yes,172,young
O00103,9/29/2025,C1079,25-34,Female,Berlin,Mobile,Organic Search,New,P00103,Printed coats - pink,Clothing,Coats,Stradivarius,150.07,81.89,1,18,3.66,Apple Pay,Cancelled,0,123.06,37.51,3,Yes,0,adult
O00104,3/11/2024,C1591,25-34,Male,Dresden,Mobile,Paid Advertising,New,P00104,Classic running - pink,Sports,Running,New Balance,101.84,61.85,1,5,3.91,Google Pay,Delivered,4,96.75,30.99,4,Yes,7,adult
O00105,2/17/2024,C1523,35-44,Male,Hamburg,Mobile,Organic Search,New,P00105,Knitted pumps - black,Shoes,Pumps,Anna Field,101.75,53.79,1,9,1.24,Google Pay,Delivered,6,92.59,37.56,3,Yes,0,middle-aged
O00106,6/5/2025,C1580,45-54,Male,Essen,Mobile,Direct,Returning,P00106,Oversized skirts - blue,Clothing,Skirts,Pull&Bear,88.74,52.71,1,0,4.68,Credit Card,Shipped,7,88.74,31.35,3,No,0,older adult
O00107,9/22/2025,C1746,25-34,Male,Dusseldorf,Tablet,Social Media,Returning,P00107,Oversized hats & caps - blue,Accessories,Hats & caps,The North Face,60.33,27.38,1,17,0.15,PayPal,Delivered,4,50.07,22.54,5,Yes,51,adult
O00108,9/18/2024,C1353,18-24,Female,Hamburg,Mobile,Direct,New,P00108,Printed jackets & blazers - blue,Clothing,Jackets & Blazers,Stradivarius,161.93,77.27,1,24,4.12,Credit Card,Delivered,3,123.07,41.68,3,Yes,0,young
O00109,1/22/2025,C1236,25-34,Female,Berlin,Mobile,Organic Search,New,P00109,Leather ankle boots - khaki,Shoes,Ankle boots,Anna Field,53.25,24.29,1,0,3.36,Debit Card,Delivered,4,53.25,25.6,2,No,75,adult
O00110,7/5/2024,C1446,45-54,Male,Dresden,Mobile,Social Media,New,P00110,Slim fit flat shoes - blue,Shoes,Flat shoes,Bershka,46.95,29.18,1,0,1.75,Gift Card,Delivered,2,46.95,16.02,1,No,120,older adult
O00111,3/6/2025,C1565,45-54,Male,Dresden,Mobile,Organic Search,Returning,P00111,Lace bags & cases - green,Accessories,Bags & cases,Pull&Bear,136.38,64.47,2,0,2.31,Apple Pay,Processing,0,272.76,141.51,3,No,0,older adult
O00112,3/15/2024,C1953,35-44,Female,Hamburg,Mobile,Paid Advertising,New,P00112,Oversized ankle boots - white,Shoes,Ankle boots,Stradivarius,43.17,24.25,1,0,0.45,PayPal,Delivered,4,43.17,18.47,3,No,0,middle-aged
O00113,6/15/2024,C1937,35-44,Female,Frankfurt am Main,Desktop,Direct,New,P00113,Padded yoga - blue,Sports,Yoga,Puma,67.68,32.37,3,16,4.14,Credit Card,Returned,0,170.55,69.3,3,Yes,0,middle-aged
